"","target_child_id","stem","tokens"
"1",1754,"fight",4
"2",1754,"touch",2
"3",1999,"fight",2
"4",1999,"kiss",1
"5",1999,"meet",1
"6",1999,"touch",3
"7",2006,"touch",5
"8",2007,"fight",3
"9",2007,"kiss",1
"10",2007,"meet",2
"11",2007,"touch",12
"12",2007,"trade",1
"13",2020,"fight",1
"14",2020,"join",1
"15",2020,"match",1
"16",2020,"meet",1
"17",2020,"touch",4
"18",2040,"fight",5
"19",2040,"kiss",4
"20",2040,"meet",1
"21",2040,"separate",1
"22",2040,"touch",9
"23",2053,"fight",1
"24",2053,"match",1
"25",2053,"separate",1
"26",2053,"touch",1
"27",2065,"fight",2
"28",2065,"hug",2
"29",2077,"touch",3
"30",2091,"fight",2
"31",2091,"meet",1
"32",2091,"touch",3
"33",2108,"fight",2
"34",2108,"touch",3
"35",2112,"touch",2
"36",2127,"attach",1
"37",2127,"kiss",1
"38",2127,"marry",2
"39",2127,"touch",13
"40",2127,"trade",1
"41",2130,"fight",1
"42",2130,"meet",3
"43",2141,"attach",3
"44",2141,"kiss",4
"45",2141,"marry",2
"46",2141,"meet",2
"47",2141,"separate",1
"48",2141,"touch",2
"49",2172,"kiss",1
"50",2172,"marry",1
"51",2172,"touch",8
"52",2187,"touch",1
"53",2202,"attach",1
"54",2202,"fight",3
"55",2202,"kiss",2
"56",2202,"meet",1
"57",2202,"touch",4
"58",2234,"fight",1
"59",2234,"touch",5
"60",2249,"fight",2
"61",2264,"attach",1
"62",2264,"kiss",1
"63",2264,"separate",1
"64",2264,"touch",4
"65",2264,"trade",1
"66",2279,"connect",1
"67",2279,"meet",1
"68",2279,"touch",1
"69",2291,"fight",1
"70",2291,"kiss",2
"71",2291,"touch",2
"72",2302,"fight",2
"73",2302,"meet",1
"74",2302,"touch",1
"75",2315,"join",3
"76",2315,"kiss",1
"77",2316,"fight",2
"78",2316,"join",2
"79",2316,"touch",2
"80",2317,"touch",1
"81",2319,"fight",1
"82",2319,"marry",1
"83",2319,"touch",9
"84",2328,"touch",2
"85",2377,"attach",4
"86",2377,"touch",2
"87",2399,"attach",2
"88",2399,"fight",1
"89",2399,"match",3
"90",2399,"meet",2
"91",2399,"touch",6
"92",2400,"fight",3
"93",2400,"kiss",3
"94",2400,"match",1
"95",2400,"meet",3
"96",2400,"touch",4
"97",2402,"fight",1
"98",2402,"kiss",5
"99",2405,"fight",3
"100",2405,"meet",1
"101",2405,"touch",6
"102",2575,"touch",4
"103",2622,"touch",1
"104",2643,"meet",1
"105",3459,"hug",1
"106",3459,"meet",2
"107",4019,"fight",7
"108",5503,"match",1
